"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
99,8/8/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F2","395","Recap","Female","NR",14.00,"SEED",,,,,,,,,,,,,,,
100,8/9/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F2","395","Recap","Female","NR",12.00,"SEED",,,,,,,,,,,,,,,
101,8/5/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F23","396","Marked","Male","S",18.00,"PB",,,,,,,,,,,,,,,
102,8/6/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F12","396","Recap","Male","S",17.00,"PB",,,,,,,,,,,,,,,
103,8/7/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F12","396","Recap","Male","S",16.00,"PB",,,,,,,,,,,,,,,
104,8/8/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F12","396","Recap","Male","S",16.00,"SEED",,,,,,,,,,,,,,,
105,8/9/2011 0:00:00,"Beaver Ponds","Forest","Peromyscus maniculatus","F12","396","Recap","Male","S",17.00,"SEED",,,,,,,,,,,,,,,
106,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Peromyscus maniculatus","M36","g","Collected","Male","S",16.00,"PB","missed in am; dead in trap",,,,"ID verified with skull. Missed in am; dead in trap; no ear tag",,,,,,,,,,
107,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Peromyscus maniculatus","M14","h","NEW","Male","S",19.00,"PB",,,,,,,,,,,,,,,
108,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex palustris","W24","I","Collected",,,,"PB","collected to insure ID",,,,,,,,,,,,,,
109,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Sorex cinereus","W45","j","Collected","Female","R",5.00,"SEED","dead in trap",39.00,11.50,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
110,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W7","k","Collected",,,4.50,,"dead in trap; smelly: monticolus?",41.50,13.00,,"ID based with skull & dentition characteristics. dead in trap; smelly: monticolus?; no ear tag",,,,,,,,,,
111,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W2","l","Collected",,,5.00,"SEED","dead in trap",45.00,12.50,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
112,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex sp.","W23","m","Released",,,,"PB",,,,,,,,,,,,,,,
113,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W32","n","Collected?",,,5.00,"SEED","not marked as fate/collected",43.00,12.50,,"ID based with skull & dentition characteristics; no ear tag",,,,,,,,,,
114,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex sp.","W47","o","Released",,,,"PB",,,,,,,,,,,,,,,
115,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W9","p","Collected",,,6.25,"SEED","dead in trap",44.00,13.00,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
116,8/8/2011 0:00:00,"Beaver Ponds","Forest","Sorex monticolus","F54","q","Collected",,,3.50,"PB","dead in trap",42.00,13.00,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
117,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W15","r","Collected",,,6.00,"PB","dead in trap",48.00,12.00,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
118,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W32","s","Collected",,,4.50,"SEED","dead in trap",44.00,12.00,,"ID based with skull & dentition characteristics; dead in trap; no ear tag. Both skulls tagged 834, this one slightly shorter skull length therefore assumed it was 832",,,,,,,,,,
