"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22"
106,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F79","1400","Recap","Female","R",25,"PB",,,,,,,,,,,
107,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F78","1400","Recap","Female","R",24,"PB",,,,,,,,,,,
108,7/19/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M32","2000","Marked","Female","R",30,"PB",,48.00,18.50,18.00,,,,,,,
109,7/20/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M33","2000","Recap","Female","R",26,"PB",,,,,,,,,,,
110,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M29","2000","Recap","Female","R",26,"PB",,,,,,,,,,,
111,7/22/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M32","2000","Recap","Female","R",24,"PB",,,,,,,,,,,
112,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M34","2000","Recap","Female","R",24,"PB",,,,,,,,,,,
113,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F10","2001","Marked","Male","NS",8,"PB",,,,,,,,,,,
114,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W27","2002","Marked","Male","NS",8,"SEED",,,,,,,,,,,
115,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W30","2003","Marked","Male","S",13,"SEED",,,,,,,,,,,
116,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F17","2004","Marked","Male","S",19,"PB",,,,,,,,,,,
117,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F29","2005","Marked","Male","X",12,"PB",,,,,,,,,,,
118,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F29","2005","Recap","Male","X",12,"PB",,,,,,,,,,,
119,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian I","Myodes gapperi","W17","2010","Marked","Male","NS",17,"SEED",,,,,,,,,,,
120,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian I","Myodes gapperi","W17","2020","Marked","Female","R",28,"PB",,,,,,,,,,,
121,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Myodes gapperi","M33","2020","Recap","Female","R",26,"PB",,,,,,,,,,,
122,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F1","2030","Marked","Male","NS",17,"SEED",,,,,,,,,,,
123,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F4","2040","Marked","Male","X",9,"SEED",,,,,,,,,,,
124,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F11","2040","Recap","Male","X",10,"SEED",,,,,,,,,,,
125,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F4","2050","Marked","Female","R",25,"PB",,,,,,,,,,,
126,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F4","2050","Recap","Female","R",20,"SEED","Noted as Male, but other 2 captures were female",,,,,,,,,,
127,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F4","2050","Recap","Female","R",22,"SEED",,,,,,,,,,,
128,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F58","2100","Marked","Male","NS",10,"PB",,,,,,,,,,,
129,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F64","2200","Marked","Female","R",23,"PB","Noted as Male S, but other 2 captures were female",,,,,,,,,,
130,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F62","2200","Recap","Female","R",22,"PB",,,,,,,,,,,
131,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F62","2200","Recap","Female","R",23,"SEED",,,,,,,,,,,
132,7/20/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F77","2300","Marked","Male","S",26,"PB",,,,,,,,,,,
133,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F77","2300","Recap","Male","S",26,"SEED",,,,,,,,,,,
134,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F69","2300","Recap","Male","S",25,"PB",,,,,,,,,,,
135,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F1","3000","Marked","Female","R",27,"PB",,,,,,,,,,,
136,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F86","3001","Marked","Male","S",22,"PB",,,,,,,,,,,
137,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F83","3001","Recap","Male","S",21,"PB",,,,,,,,,,,
138,7/22/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W29","3002","Marked","Female","NR",15,"PB","DOUBLE CAPTURE; MAYBE A RE-TAGGED NUMBER?",,,,,,,,,,
139,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F68","3010","Marked","Female","R",14,"PB",,,,,,,,,,,
140,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F72","3020","Marked","Female","NR",15,"PB",,,,,,,,,,,
141,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F71","3020","Recap","Female","NR",15,"PB",,,,,,,,,,,
142,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F75","3020","Recap","Female","NR",15,"PB",,,,,,,,,,,
143,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F74","3030","Marked","Female","R",17,"PB",,,,,,,,,,,
144,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F74","3030","Recap","Female","R",19,"PB",,,,,,,,,,,
145,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F77","3030","Recap","Female","R",18,"SEED",,,,,,,,,,,
146,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F84","3040","Marked","Male","S",24,"PB",,,,,,,,,,,
147,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F84","3050","Marked","Female","X",10,"SEED",,,,,,,,,,,
148,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F75","3050","Recap","Female","X",11,"PB",,,,,,,,,,,
149,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F37","3100","Marked","Male","NS",10,"PB",,,,,,,,,,,
150,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F48","3200","Marked","Female","R",26,"PB",,,,,,,,,,,
151,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F49","3200","Recap","Female","R",23,"PB",,,,,,,,,,,
152,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F51","3300","Marked","Male","S",15,"SEED",,,,,,,,,,,
153,7/22/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F50","3300","Recap","Male","S",15,"PB",,,,,,,,,,,
154,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F49","3300","Recap","Male","S",15,"SEED",,,,,,,,,,,
155,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F53","3400","Marked","Male","NS",11,"PB",,,,,,,,,,,
156,7/21/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F2","3000","Recap","Female","R",27,"PB",,,,,"Noted as 4000, but no record of 4000 being marked. Most likely 3000 from trap/sex/reprod",,,,,,
157,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F1","3000","Recap","Female","R",23,"PB",,,,,,,,,,,
158,7/19/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F43","g","Collected","Female","NR",10,"SEED","Dead in trap",27.00,16.00,10.00,"ID verified with skull. Dead in trap; no ear tag; specimen tag UHV 4",,,,,,
159,7/19/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W21","h","Collected","Female","R",30,"SEED","Dead in trap",48.00,19.00,15.00,"ID verified with skull. Dead in trap; no ear tag; specimen tag UHV 3",,,,,,
160,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F12","I","NEW","Female","NR",10,"SEED",,,,,,,,,,,
161,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F32","j","NEW","Male","S",16,"SEED",,,,,,,,,,,
162,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F4","k","NEW","Male","NS",10,"PB",,,,,,,,,,,
163,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F41","l","NEW","Female","NR",13,"PB",,,,,,,,,,,
164,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F65","m","NEW","Female","R",30,"PB",,,,,,,,,,,
165,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F71","n","NEW","Female","R",29,"PB",,,,,,,,,,,
166,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Myodes gapperi","F87","o","NEW","Female","R",27,"PB",,,,,,,,,,,
167,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian I","Myodes gapperi","W17","p","NEW","Male","S",14,"PB",,,,,,,,,,,
168,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W26","q","NEW","Male","S",15,"PB",,,,,,,,,,,
169,7/23/2011 0:00:00,"Upper Hidden Valley","Riparian II","Myodes gapperi","W26","r","NEW","Female","NR",10,"SEED",,,,,,,,,,,
170,7/20/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M1","309","Marked","Male","S",19,"PB",,,,,,,,,,,
171,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M8","309","Recap","Male","S",19,"SEED",,,,,,,,,,,
172,7/22/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M8","309","Recap","Male","S",17,"SEED",,,,,,,,,,,
173,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M1","309","Recap","Male","S",17,"PB",,,,,,,,,,,
174,7/20/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M4","310","Marked","Male","S",15,"SEED",,,,,,,,,,,
175,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Peromyscus maniculatus","M1","310","Recap","Male","S",15,"PB",,,,,,,,,,,
