"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
276,7/9/2012 0:00:00,"Grouse Point","SY","M41","PB","Tamias minimus",3774.00,"3774","Recap; Collected","Female","Reprod.",,,,52.00,"Overheated, unresponsive","ID verified with skull"
277,7/9/2012 0:00:00,"Grouse Point","SK","F12","Seed","Tamias minimus",3776.00,"3776","Ear tag","Male","Non-scrotal",90.00,27.00,12.00,35.00,,
278,7/10/2012 0:00:00,"Grouse Point","JB","F11","Seed","Tamias minimus",3776.00,"3776","Recap","Male","Non-scrotal",,,,32.00,"Slightly scrotal. Fairly small bulge",
279,7/9/2012 0:00:00,"Grouse Point","JH","F12","PB","Tamias minimus",3777.00,"3777","Ear tag","Female","Non-reprod.",102.00,29.00,15.00,40.50,,
280,7/9/2012 0:00:00,"Grouse Point","SK","F13","PB","Tamias minimus",3778.00,"3778","Ear tag","Male","Non-scrotal",91.00,27.50,11.00,45.00,,
281,7/9/2012 0:00:00,"Grouse Point","SK","F19","Seed","Tamias minimus",3779.00,"3779","Ear tag","Male","Non-scrotal",96.00,30.00,13.00,39.00,,
282,7/9/2012 0:00:00,"Grouse Point","JH","F25","PB","Tamias minimus",3780.00,"3780","Ear tag","Male","Non-scrotal",87.00,27.00,13.00,47.00,,
283,7/10/2012 0:00:00,"Grouse Point","SY","F30","Seed","Tamias minimus",3780.00,"3780","Recap","Male","Non-scrotal",,,,44.00,,
284,7/9/2012 0:00:00,"Grouse Point","SK","F20","PB","Tamias minimus",3781.00,"3781","Ear tag","Female","Non-reprod.",97.00,29.00,14.00,33.00,,
285,7/9/2012 0:00:00,"Grouse Point","SK","F24","Seed","Tamias minimus",3782.00,"3782","Ear tag","Female","Non-reprod.",92.00,27.00,14.00,38.00,,
286,7/11/2012 0:00:00,"Grouse Point","JB","F26","Seed","Tamias minimus",3782.00,"3782","Recap","Female","Non-reprod.",,,,40.00,,
287,7/9/2012 0:00:00,"Grouse Point","JH","F30","PB","Tamias minimus",3783.00,"3783","Ear tag","Female","Non-reprod.",90.00,27.00,13.00,36.00,,
288,7/11/2012 0:00:00,"Grouse Point","JB","F34","Seed","Tamias minimus",3783.00,"3783","Recap","Female","Non-reprod.",,,,36.00,,
289,7/9/2012 0:00:00,"Grouse Point","SK","F30","Seed","Tamias minimus",3784.00,"3784","Ear tag","Female","Reprod.",,29.00,11.00,45.00,"Old wound at end of tail",
290,7/11/2012 0:00:00,"Grouse Point","JB","F38","Seed","Tamias minimus",3784.00,"3784","Recap","Female","Reprod.",,,,46.00,"Ran with tail up",
291,7/9/2012 0:00:00,"Grouse Point","JH","F41","Seed","Tamias minimus",3785.00,"3785","Ear tag; collected","Male","Non-scrotal",100.00,29.00,15.00,35.00,"Jake scruff of death","ID verified with skull"
292,7/9/2012 0:00:00,"Grouse Point","SK","F40","Seed","Tamias minimus",3786.00,"3786","Ear tag","Male","Non-scrotal",97.00,28.00,13.00,43.00,,
293,7/10/2012 0:00:00,"Grouse Point","SY","F42","PB","Tamias minimus",3786.00,"3786","Recap","Male","Non-scrotal",,,,93.50,,
294,7/11/2012 0:00:00,"Grouse Point","JB","F40","Seed","Tamias minimus",3786.00,"3786","Recap","Male","Non-scrotal",,,,44.00,,
295,7/9/2012 0:00:00,"Grouse Point","SK","F39","Seed","Tamias minimus",3788.00,"3788","Ear tag","Female","Non-reprod.",102.00,27.00,13.00,40.00,,
296,7/10/2012 0:00:00,"Grouse Point","JB","F31","Seed","Tamias minimus",3788.00,"3788","Recap","Female","Non-reprod.",,,,37.00,,
297,7/11/2012 0:00:00,"Grouse Point","JB","F36","Seed","Tamias minimus",3788.00,"3788","Recap","Female","Non-reprod.",,,,38.00,,
298,7/9/2012 0:00:00,"Grouse Point","JH","F39","PB","Tamias minimus",3790.00,"3790","Ear tag","Female","Reprod.",95.00,27.00,13.00,48.00,,
