"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
118,7/19/2012 0:00:00,"556H","SK","F64","PB","Peromyscus maniculatus",3817.00,"3817","Ear tag","Female","Reprod.",67.00,19.00,18.00,24.50,,
119,7/20/2012 0:00:00,"556H","SK","F61","PB","Peromyscus maniculatus",3817.00,"3817","Recap","Female","Reprod.",,,,28.50,,
120,7/21/2012 0:00:00,"556H","JH","F64","PB","Peromyscus maniculatus",3817.00,"3817","Recap","Female","Reprod.",,,,30.00,,
121,7/22/2012 0:00:00,"556H","JB","F62","PB","Peromyscus maniculatus",3817.00,"3817","Recap","Female","Reprod.",,,,32.50,,
122,7/19/2012 0:00:00,"556H","SY","F35","PB","Peromyscus maniculatus",3818.00,"3818","Ear tag","Female","Non-reprod.",59.00,17.00,14.00,12.50,,
123,7/21/2012 0:00:00,"556H","JB","F47","Seed","Peromyscus maniculatus",3818.00,"3818","Recap","Female","Non-reprod.",,,,12.00,,
124,7/19/2012 0:00:00,"556H","JH","F8","PB","Peromyscus maniculatus",3820.00,"3820","Ear tag","Male","Scrotal",62.00,18.00,17.00,15.50,,
125,7/20/2012 0:00:00,"556H","JB","W19","Seed","Peromyscus maniculatus",3820.00,"3820","Recap","Male","Scrotal",,,,17.50,"F8 and W19 are close enough that this movement is feasible",
126,7/21/2012 0:00:00,"556H","JH","W19","Seed","Peromyscus maniculatus",3820.00,"3820","Recap","Male","Scrotal",,,,15.00,,
127,7/20/2012 0:00:00,"556H","SK","M12","Seed","Peromyscus maniculatus",3821.00,"3821","Ear tag","Male","Non-scrotal",68.00,20.00,16.00,16.50,,
128,7/21/2012 0:00:00,"556H","SY","M14","PB","Peromyscus maniculatus",3821.00,"3821","Recap","Male","Non-scrotal",,,,15.50,,
129,7/19/2012 0:00:00,"556H","SK","M23","PB","Peromyscus maniculatus",3822.00,"3822","Ear tag","Male","Non-scrotal",67.00,19.00,15.00,14.50,,
130,7/20/2012 0:00:00,"556H","SY","M27","PB","Peromyscus maniculatus",3822.00,"3822","Recap","Male","Non-scrotal",,,,16.00,,
131,7/21/2012 0:00:00,"556H","JB","M26","Seed","Peromyscus maniculatus",3822.00,"3822","Recap","Male","Non-scrotal",,,,15.00,,
132,7/22/2012 0:00:00,"556H","JB","M35","Seed","Peromyscus maniculatus",3822.00,"3822","Recap","Male","Non-scrotal",,,,16.00,,
133,7/21/2012 0:00:00,"556H","SK","W12","Seed","Peromyscus maniculatus",3850.00,"3850","Ear tag","Male","Scrotal",69.00,19.00,15.00,16.00,,
134,7/22/2012 0:00:00,"556H","SK","W14","PB","Peromyscus maniculatus",3850.00,"3850","Recap","Male","Scrotal",,,,17.50,,
135,7/21/2012 0:00:00,"556H","JH","F70","Seed","Peromyscus maniculatus",3852.00,"3852","Ear tag","Female","Reprod.",60.00,19.00,14.00,24.00,,
136,7/22/2012 0:00:00,"556H","JB","F70","Seed","Peromyscus maniculatus",3852.00,"3852","Recap","Female","Reprod.",,,,20.00,,
137,7/21/2012 0:00:00,"556H","JH","F52","Seed","Peromyscus maniculatus",3854.00,"3854","Ear tag","Female","Non-reprod.",49.00,17.00,13.00,9.50,,
138,7/21/2012 0:00:00,"556H","SK","F71","Seed","Peromyscus maniculatus",3856.00,"3856","Ear tag","Female","Non-reprod.",59.00,17.00,15.00,10.00,,
139,7/22/2012 0:00:00,"556H","SY","F71","Seed","Peromyscus maniculatus",3856.00,"3856","Recap","Female","Non-reprod.",,,,10.00,,
140,7/21/2012 0:00:00,"556H","JB","F80","Seed","Peromyscus maniculatus",3861.00,"3861","Ear tag","Male","Scrotal",70.00,19.00,18.00,16.50,,
141,7/21/2012 0:00:00,"556H","JH","F20","PB","Peromyscus maniculatus",3865.00,"3865","Ear tag","Female","Non-reprod.",50.00,19.00,14.00,10.00,,
142,7/21/2012 0:00:00,"556H","SY","F14","PB","Peromyscus maniculatus",3866.00,"3866","Ear tag","Male","Non-scrotal",69.00,19.50,15.00,14.50,,
143,7/22/2012 0:00:00,"556H","JH","F9","Seed","Peromyscus maniculatus",3866.00,"3866","Recap","Male","Non-scrotal",,,,14.50,,
144,7/21/2012 0:00:00,"556H","SY","F10","PB","Peromyscus maniculatus",3867.00,"3867","Ear tag","Female","Reprod.",71.00,19.00,17.00,23.00,"Black-tipped nipples",
145,7/22/2012 0:00:00,"556H","SY","F16","Seed","Peromyscus maniculatus",3867.00,"3867","Recap","Female","Reprod.",,,,22.50,"Black-tipped nipples",
146,7/21/2012 0:00:00,"556H","JH","M32","Seed","Peromyscus maniculatus",3869.00,"3869","Ear tag","Male","Scrotal",69.00,20.00,20.00,18.50,"Slightly scrotal",
147,7/22/2012 0:00:00,"556H","JH","M34","Seed","Peromyscus maniculatus",3869.00,"3869","Recap","Male","Scrotal",,,,18.50,,
148,7/21/2012 0:00:00,"556H","JH","M26","PB","Peromyscus maniculatus",3872.00,"3872","Ear tag","Male","Non-scrotal",64.00,20.00,16.00,17.00,,
