bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
15,2100,19,Peflavu,0,234,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
16,2150,19,Peflavu,0,248,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
17,2200,19,Peflavu,0,303,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
18,2250,19,Peflavu,0,2,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
19,2300,19,Peflavu,0,7,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
20,2350,19,Peflavu,0,22,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
21,2400,19,Peflavu,0,171,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
22,2450,19,Peflavu,0,18,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
23,2500,19,Peflavu,0,2,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
24,2550,19,Peflavu,0,9,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
25,2600,19,Peflavu,0,56,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
26,2650,19,Peflavu,0,44,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
27,2700,19,Peflavu,0,188,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
28,2750,19,Peflavu,0,77,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
29,2800,19,Peflavu,0,169,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
30,2850,19,Peflavu,0,60,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
31,2900,19,Peflavu,0,40,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
32,2950,19,Peflavu,0,56,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
33,3000,19,Peflavu,0,88,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
34,3050,19,Peflavu,0,63,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
35,3100,19,Peflavu,0,119,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
36,3150,19,Peflavu,0,49,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
37,3200,19,Peflavu,0,13,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
38,3250,19,Peflavu,0,17,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
39,3300,19,Peflavu,0,36,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
40,3350,19,Peflavu,0,200,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
41,3400,19,Peflavu,0,32,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
42,3450,19,Peflavu,0,103,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
43,3500,19,Peflavu,0,11,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
44,3550,19,Peflavu,0,1,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
